SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,DebtRatio,NumberOfDependents,TotalLate,TotalCreditLines,MonthlyIncome_log
1,0.766126609,45,0.802982129,2.0,2,19,9.118334726180159
0,0.957151019,40,0.121876201,1.0,0,4,7.8636512654486515
0,0.65818014,38,0.085113375,0.0,2,2,8.02059914989697
0,0.233809776,30,0.036049682,0.0,0,5,8.101980731853192
0,0.9072394,49,0.024925695,0.0,1,8,11.060195778394762
0,0.213178682,74,0.375606969,1.0,0,4,8.160803920954665
0,0.754463648,39,0.209940017,0.0,0,8,8.160803920954665
0,0.116950644,27,46.0,0.0,0,2,8.594339400592892
0,0.189169052,57,0.606290901,2.0,0,13,10.072597215357852
0,0.644225962,30,0.30947621,0.0,0,5,7.824445930877619
0,0.01879812,51,0.53152876,2.0,0,9,8.779865100863852
0,0.010351857,46,0.298354075,2.0,0,15,9.429877427696281
1,0.964672555,40,0.382964747,2.0,7,10,9.525224101853109
0,0.019656581,76,477.0,0.0,0,7,0.0
0,0.548458062,64,0.209891754,2.0,0,8,9.338117741918008
0,0.166284079,53,0.18827406,0.0,0,7,9.082620630373812
0,0.221812771,43,0.527887839,2.0,0,8,8.0959035329611
0,0.602794411,25,0.065868263,0.0,0,2,5.811140992976701
0,0.200923382,43,0.430046338,0.0,0,12,9.417435838868785
1,0.025655677,38,0.475841386,2.0,0,8,8.006700845440367
0,0.9999999,39,0.241103559,0.0,0,4,7.824445930877619
0,0.075426584,32,0.085512189,0.0,0,6,8.976767625171433
0,0.04656027,58,0.241621845,0.0,0,10,7.790282380703483
1,0.392248482,50,1.595253368,1.0,0,17,8.450412157725886
0,0.052436094,58,0.097672186,0.0,0,23,9.0280988119824
0,0.034421473,69,0.042383047,1.0,0,17,7.824445930877619
0,0.452515828,24,0.011761247,0.0,0,1,8.131824785007195
0,0.392994586,58,0.436102527,0.0,2,16,8.612685172875459
0,0.704073982,28,0.155201143,0.0,1,8,8.343077871169383
0,0.9999999,24,0.472703063,0.0,0,1,6.621405651764134
0,0.083418009,62,977.0,0.0,0,7,8.594339400592892
